Index,Value
0.0,78.01139407773496
1.0,78.02745595219116
2.0,78.0321653202363
3.0,78.03724356339332
4.0,78.04309723093009
5.0,78.12718538872551
6.0,78.16146330657686
7.0,78.16757484659007
8.0,78.17937352096243
9.0,78.18611181940797
10.0,78.19686033851877
11.0,78.30106411860457
12.0,78.36610637685365
13.0,78.36708820448246
14.0,78.38671760912686
15.0,78.426128069833
16.0,78.46200837216561
17.0,78.49889418436884
18.0,78.52564319388048
19.0,78.52655039868894
20.0,78.52790441664595
21.0,78.56036762359354
22.0,78.56278313694663
23.0,78.56506068235754
24.0,78.57838632288204
25.0,78.58471833118514
26.0,78.59012045131064
27.0,78.60055945741908
28.0,78.62145225501861
29.0,78.66492893074718
30.0,78.69298648481988
31.0,78.70253920319598
32.0,78.75406020844139
33.0,78.79053959264736
34.0,78.79195464110559
35.0,78.81879326506856
36.0,78.83195903391649
37.0,78.83253498085132
38.0,78.87043539554364
39.0,78.90898213642768
40.0,78.94845970345823
41.0,78.97197873202026
42.0,79.00616162656613
43.0,79.02434971198419
44.0,79.05484723707455
45.0,79.0614935157916
46.0,79.12018110810429
47.0,79.14695105120012
48.0,79.15876619502797
49.0,79.19216722159813
50.0,79.23606463065447
51.0,79.23845727960659
52.0,79.26143599425522
53.0,79.27873842791077
54.0,79.2825184360692
55.0,79.28618392440282
56.0,79.31455528665781
57.0,79.32323692595136
58.0,79.36016974020448
59.0,79.39667264803052
60.0,79.42805991737441
61.0,79.463815526842
62.0,79.51022090995134
63.0,79.51299618380993
64.0,79.51408586123001
65.0,79.51488016981631
66.0,79.60145917935729
67.0,79.63616247814419
68.0,79.72104053703757
69.0,79.76528799175607
70.0,79.77562810201904
71.0,79.7874244673339
72.0,79.8374356145815
73.0,79.85451747151698
74.0,79.89113071081621
75.0,79.94522743152729
76.0,79.96314947318106
77.0,79.96674873755823
78.0,79.99178009353794
79.0,80.01170786616649
80.0,80.0690680489299
81.0,80.07382531998704
82.0,80.11810717387452
83.0,80.13960748221193
84.0,80.14626231494823
85.0,80.20153533473645
86.0,80.21576981043074
87.0,80.24225472200187
88.0,80.24762936127968
89.0,80.26739383987305
90.0,80.26839582110375
91.0,80.28622966824278
92.0,80.35566266423652
93.0,80.3691704515878
94.0,80.38941665486261
95.0,80.43888778382586
96.0,80.47964981988727
97.0,80.4843202923329
98.0,80.48976544537165
99.0,80.52219300509321
100.0,80.53682966179527
101.0,80.54336369633046
102.0,80.62272690228878
103.0,80.62600264839753
104.0,80.65586987855654
105.0,80.69214119033967
106.0,80.74640033276296
107.0,80.7635422103522
108.0,80.80760625061563
109.0,80.85846200473645
110.0,80.94513132859385
111.0,80.96475379094701
112.0,81.01850855378567
113.0,81.0217376432188
114.0,81.10350926156615
115.0,81.14527394361701
116.0,81.19526667251777
117.0,81.19700218599931
118.0,81.23122257056679
119.0,81.24488616191604
120.0,81.33858323344108
121.0,81.35456114512733
122.0,81.38846938436888
123.0,81.40442703702652
124.0,81.44650669976929
125.0,81.45308621217109
126.0,81.46025201624563
127.0,81.50026861390401
128.0,81.55056012976253
129.0,81.56106580078912
130.0,81.57379569064807
131.0,81.57824587726475
132.0,81.58264716944296
133.0,81.60010512964463
134.0,81.6168938549156
135.0,81.64567097137852
136.0,81.68966466596999
137.0,81.7429953986642
138.0,81.83659279115832
139.0,81.87430877057379
140.0,81.8809062000671
141.0,81.9395472789148
142.0,81.98693869064037
143.0,82.00314593264761
144.0,82.00374652395665
145.0,82.04696935164931
146.0,82.11559317788951
147.0,82.23624163563639
148.0,82.23700609894455
149.0,82.27716379450031
150.0,82.30404436897126
151.0,82.40541492739614
152.0,82.4361441501844
153.0,82.56957586487862
154.0,82.58885849534279
155.0,82.64551620242601
156.0,82.78551522162874
157.0,82.86635446195704
158.0,82.8724619213818
159.0,82.9498554527884
160.0,82.95602580221218
161.0,82.99678242658266
162.0,83.00138523785122
163.0,83.03597213736155
164.0,83.05296930823987
165.0,83.14277460643834
166.0,83.15695023155075
167.0,83.20449071166806
168.0,83.2309022495616
169.0,83.24719514437598
170.0,83.33627636954502
171.0,83.34119915138557
172.0,83.67497853555926
173.0,83.67803416431893
174.0,83.68799199256254
175.0,83.723347522264
176.0,83.7778067945266
177.0,84.02725320187201
178.0,84.05023788495315
179.0,84.1597558554222
180.0,84.24700559693949
181.0,84.31837466251095
182.0,84.3567239913935
183.0,84.41078843705046
184.0,84.64090926836201
185.0,84.654951255372
186.0,84.66226352220812
187.0,84.68292644694408
188.0,84.72008281189274
189.0,84.79207092911822
190.0,84.90974216225928
191.0,84.91233831413683
192.0,85.00777055303774
193.0,85.10102732449062
194.0,85.24668247430414
195.0,85.28145170500166
196.0,85.44733865376917
197.0,85.48029333653076
198.0,85.57613985245311
199.0,85.65035678661435
200.0,85.68549215178756
201.0,85.78429198924506
202.0,86.03712737056796
203.0,86.20860593099259
204.0,86.2390612016546
205.0,86.30631490946874
206.0,86.44356309761737
207.0,86.48593731853313
208.0,86.58471479911799
209.0,86.76864992430887
210.0,86.82151881026027
211.0,87.44059149290034
212.0,87.49355111532732
213.0,87.49410020952061
214.0,87.55294702614363
215.0,88.11528791207085
216.0,88.32803317686664
217.0,88.60244663038465
218.0,88.86518342080983
219.0,89.04185133362643
220.0,89.56470638362362
221.0,89.65315231498161
222.0,89.67723633374857
223.0,89.89980504727993
224.0,90.11757242288319
225.0,90.19539462875264
226.0,90.2094938915634
227.0,90.2566201839599
228.0,90.25870157078909
229.0,90.39123517535594
